,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
0,Avengers: Infinity War,5.0,4.0,1350301,"['Adventure', 'Action', 'Science Fiction']",USA
1,The Assassin's Code,3.0,2.69,135,"['Thriller', 'Action']",USA
2,Murder Mystery,4.0,2.75,186764,"['Action', 'Mystery', 'Comedy']",USA
3,The Poison Rose,3.0,1.77,3185,"['Thriller', 'Crime']",USA
4,Megalodon,3.0,1.9,1819,"['Horror', 'Science Fiction', 'TV Movie', 'Action']",USA
5,Now You See Me 2,4.0,2.97,229180,"['Action', 'Crime', 'Mystery', 'Thriller']",Hong Kong
6,Get Out,5.0,4.2,1527953,"['Thriller', 'Horror', 'Mystery']",USA
7,The Woman in the Window,4.0,2.46,139485,"['Crime', 'Drama', 'Mystery', 'Thriller']",USA
8,Knives Out,5.0,4.06,1661657,"['Comedy', 'Mystery', 'Crime']",USA
9,Kong: Skull Island,3.0,3.08,300608,"['Action', 'Fantasy', 'Adventure']",China
10,Avengers: Endgame,5.0,3.92,1298178,"['Adventure', 'Science Fiction', 'Action']",USA
11,Arrival,4.5,4.07,969989,"['Drama', 'Science Fiction', 'Mystery']",Canada
12,Captain America: Civil War,5.0,3.62,899507,"['Action', 'Science Fiction', 'Adventure']",USA
13,An Inspector Calls,4.5,3.41,7918,"['Thriller', 'Mystery', 'Drama', 'TV Movie', 'Crime']",UK
14,The Martian,4.0,3.73,725269,"['Drama', 'Science Fiction', 'Adventure']",UK
15,Star Wars: The Force Awakens,4.0,3.39,892207,"['Science Fiction', 'Action', 'Adventure']",USA
16,Everest,4.0,3.17,89913,"['History', 'Drama', 'Adventure']",Iceland
17,Draft Day,3.5,2.97,27657,['Drama'],USA
18,San Andreas,3.5,2.52,111940,"['Thriller', 'Action', 'Drama']",Canada
19,Terminator Genisys,3.5,2.25,92649,"['Science Fiction', 'Adventure', 'Thriller', 'Action']",Canada
20,Mission: Impossible - Rogue Nation,3.5,3.63,223527,"['Adventure', 'Action']",USA
21,Captain America: The Winter Soldier,5.0,3.76,826111,"['Action', 'Adventure', 'Science Fiction']",USA
22,Interstellar,5.0,4.3,1453318,"['Science Fiction', 'Drama', 'Adventure']",UK
23,Non-Stop,3.5,3.0,72434,"['Action', 'Thriller', 'Mystery']",Canada
24,Kingsman: The Secret Service,4.5,3.72,588291,"['Action', 'Comedy', 'Crime', 'Adventure']",UK
25,Welcome to the Jungle,3.5,2.18,2743,['Comedy'],UK
26,The Wolf of Wall Street,4.0,4.01,1305418,"['Comedy', 'Drama', 'Crime']",USA
27,Chinese Zodiac,4.0,2.65,6367,"['Adventure', 'Action']",China
28,Jack Reacher,4.5,3.14,104693,"['Action', 'Crime', 'Drama', 'Thriller']",USA
29,Mission: Impossible - Ghost Protocol,3.5,3.65,220653,"['Thriller', 'Action', 'Adventure']",USA
30,The Other Guys,4.0,3.24,170065,"['Comedy', 'Crime', 'Action']",USA
31,Sinister,4.5,3.34,214935,"['Thriller', 'Mystery', 'Horror']",Canada
32,Empire State,3.5,2.29,4108,"['Drama', 'Action']",USA
33,Night at the Museum: Battle of the Smithsonian,3.0,2.81,157164,"['Fantasy', 'Comedy', 'Action', 'Family', 'Adventure']",USA
34,The Conjuring,5.0,3.62,519685,"['Horror', 'Thriller']",USA
35,Hugo,3.0,3.47,250903,"['Adventure', 'Family', 'Drama']",France
36,The Expendables,3.5,2.72,102779,"['Action', 'Adventure', 'Thriller']",Bulgaria
37,The Karate Kid,3.0,2.91,170408,"['Adventure', 'Drama', 'Action', 'Family']",China
38,Avatar,3.5,3.56,951790,"['Adventure', 'Action', 'Science Fiction', 'Fantasy']",USA
39,The Haunting in Connecticut,3.5,2.6,18389,"['Horror', 'Thriller']",USA
40,Zodiac,4.5,3.98,696466,"['Mystery', 'Thriller', 'Drama', 'Crime']",USA
41,Hot Fuzz,4.5,4.05,444363,"['Action', 'Crime', 'Comedy']",France
42,Angels & Demons,4.5,3.05,89863,"['Thriller', 'Mystery']",Italy
43,When a Stranger Calls,4.0,2.48,25715,"['Horror', 'Mystery']",USA
44,Silent Hill,3.5,3.08,100278,"['Horror', 'Mystery']",Canada
45,The Uninvited,3.5,2.84,22348,['Horror'],USA
46,The Departed,5.0,4.21,590594,"['Thriller', 'Drama', 'Crime']",Hong Kong
47,Shutter Island,5.0,4.09,1016137,"['Thriller', 'Mystery', 'Drama']",USA
48,The Da Vinci Code,4.5,3.05,187832,"['Thriller', 'Mystery']",USA
49,The Bourne Ultimatum,4.0,3.63,156062,"['Drama', 'Action', 'Mystery', 'Thriller']",France
50,United 93,4.0,3.65,35982,"['Crime', 'Drama', 'Action', 'Thriller', 'History']",France
51,Inside Man,4.0,3.61,129923,"['Drama', 'Thriller', 'Crime']",USA
52,Red Eye,4.0,3.17,81843,"['Mystery', 'Thriller']",USA
53,Chaos,4.0,2.77,5908,"['Action', 'Drama', 'Crime']",Canada
54,King Kong,3.5,3.33,211276,"['Action', 'Adventure', 'Drama']",New Zealand
55,Ocean's Twelve,4.0,3.23,210557,"['Crime', 'Thriller']",USA
56,The Medallion,4.0,2.29,14923,"['Action', 'Thriller', 'Comedy', 'Fantasy']",Hong Kong
57,Shanghai Knights,4.5,2.77,36046,"['Comedy', 'Adventure', 'Action', 'Western']",Hong Kong
58,Out of Time,4.0,3.0,12340,"['Thriller', 'Drama', 'Crime']",USA
59,Spider-Man 2,4.5,3.88,749408,"['Adventure', 'Action', 'Fantasy']",USA
60,Mystic River,4.0,3.77,169832,"['Drama', 'Mystery', 'Crime', 'Thriller']",USA
61,Catch Me If You Can,4.5,4.01,716586,"['Drama', 'Crime']",USA
62,Harry Potter and the Prisoner of Azkaban,4.5,4.1,864204,"['Adventure', 'Fantasy']",UK
63,National Treasure,5.0,3.24,190072,"['Mystery', 'Adventure', 'Action', 'Thriller']",USA
64,Star Wars: Episode II - Attack of the Clones,4.0,2.75,596032,"['Action', 'Science Fiction', 'Adventure']",USA
65,Minority Report,4.5,3.68,242339,"['Action', 'Science Fiction', 'Mystery', 'Thriller']",USA
66,The Bourne Identity,4.5,3.67,216000,"['Drama', 'Thriller', 'Action', 'Mystery']",USA
67,Spider-Man,4.5,3.77,831141,"['Fantasy', 'Action']",USA
68,Murder by Numbers,4.0,2.81,15294,"['Drama', 'Thriller', 'Crime']",USA
69,Harry Potter and the Philosopher's Stone,4.0,3.79,845853,"['Fantasy', 'Adventure']",UK
70,Harry Potter and the Chamber of Secrets,4.0,3.63,726174,"['Adventure', 'Fantasy']",UK
