,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
0,Knives Out,5.0,4.06,1633325,"['Comedy', 'Mystery', 'Crime']",USA
1,The Woman in the Window,4.0,2.46,138372,"['Drama', 'Mystery', 'Thriller', 'Crime']",USA
2,Get Out,5.0,4.2,1499431,"['Thriller', 'Horror', 'Mystery']",USA
3,Kong: Skull Island,3.0,3.08,296894,"['Action', 'Fantasy', 'Adventure']",China
4,Avengers: Infinity War,5.0,4.0,1321085,"['Adventure', 'Action', 'Science Fiction']",USA
5,Arrival,4.5,4.07,952349,"['Drama', 'Science Fiction', 'Mystery']",Canada
6,Avengers: Endgame,5.0,3.92,1269830,"['Adventure', 'Science Fiction', 'Action']",USA
7,The Assassin's Code,3.0,2.69,136,"['Thriller', 'Action']",USA
8,The Poison Rose,3.0,1.77,3150,"['Thriller', 'Crime']",USA
9,Megalodon,3.0,1.9,1783,"['Horror', 'Science Fiction', 'TV Movie', 'Action']",USA
10,Murder Mystery,4.0,2.74,182863,"['Action', 'Mystery', 'Comedy']",USA
11,Now You See Me 2,4.0,2.97,225371,"['Action', 'Crime', 'Mystery', 'Thriller']",Hong Kong
12,Captain America: Civil War,5.0,3.62,882381,"['Action', 'Science Fiction', 'Adventure']",USA
13,Star Wars: The Force Awakens,4.0,3.39,878513,"['Science Fiction', 'Action', 'Adventure']",USA
14,The Martian,4.0,3.73,713993,"['Drama', 'Science Fiction', 'Adventure']",UK
15,Everest,4.0,3.17,88886,"['History', 'Drama', 'Adventure']",Iceland
16,An Inspector Calls,4.5,3.41,7800,"['Thriller', 'Mystery', 'Drama', 'TV Movie', 'Crime']",UK
17,Interstellar,5.0,4.3,1412172,"['Science Fiction', 'Drama', 'Adventure']",UK
18,Mission: Impossible - Rogue Nation,3.5,3.63,219291,"['Adventure', 'Action']",USA
19,Terminator Genisys,3.5,2.25,91455,"['Science Fiction', 'Adventure', 'Thriller', 'Action']",Canada
20,Kingsman: The Secret Service,4.5,3.72,577554,"['Action', 'Comedy', 'Crime', 'Adventure']",UK
21,Captain America: The Winter Soldier,5.0,3.76,811231,"['Action', 'Adventure', 'Science Fiction']",USA
22,San Andreas,3.5,2.52,109857,"['Thriller', 'Action', 'Drama']",Canada
23,Non-Stop,3.5,3.0,71694,"['Thriller', 'Action', 'Mystery']",Canada
24,The Conjuring,5.0,3.61,510009,"['Horror', 'Thriller']",USA
25,The Wolf of Wall Street,4.0,4.01,1277160,"['Comedy', 'Drama', 'Crime']",USA
26,Draft Day,3.5,2.97,27128,['Drama'],USA
27,Jack Reacher,4.5,3.14,103410,"['Action', 'Crime', 'Drama', 'Thriller']",USA
28,Welcome to the Jungle,3.5,2.18,2710,['Comedy'],UK
29,Sinister,4.5,3.34,210726,"['Thriller', 'Mystery', 'Horror']",Canada
30,Empire State,3.5,2.28,4072,"['Drama', 'Action']",USA
31,Chinese Zodiac,4.0,2.65,6265,"['Adventure', 'Action']",China
32,Mission: Impossible - Ghost Protocol,3.5,3.65,216313,"['Thriller', 'Action', 'Adventure']",USA
33,Hugo,3.0,3.47,248091,"['Adventure', 'Family', 'Drama']",France
34,The Expendables,3.5,2.72,101396,"['Action', 'Adventure', 'Thriller']",Bulgaria
35,The Other Guys,4.0,3.24,167525,"['Comedy', 'Crime', 'Action']",USA
36,The Karate Kid,3.0,2.9,167062,"['Adventure', 'Drama', 'Action', 'Family']",China
37,Night at the Museum: Battle of the Smithsonian,3.0,2.81,154655,"['Fantasy', 'Comedy', 'Action', 'Family', 'Adventure']",USA
38,Avatar,3.5,3.56,931109,"['Adventure', 'Action', 'Science Fiction', 'Fantasy']",USA
39,The Bourne Ultimatum,4.0,3.63,154194,"['Drama', 'Action', 'Mystery', 'Thriller']",France
40,The Haunting in Connecticut,3.5,2.6,18074,"['Thriller', 'Horror']",USA
41,Zodiac,4.5,3.98,685324,"['Mystery', 'Thriller', 'Drama', 'Crime']",USA
42,Hot Fuzz,4.5,4.05,437937,"['Action', 'Crime', 'Comedy']",France
43,Angels & Demons,4.5,3.05,88856,"['Thriller', 'Mystery']",Italy
44,The Uninvited,3.5,2.84,22080,['Horror'],USA
45,Shutter Island,5.0,4.09,994164,"['Thriller', 'Mystery', 'Drama']",USA
46,The Da Vinci Code,4.5,3.05,185286,"['Thriller', 'Mystery']",USA
47,Inside Man,4.0,3.61,127637,"['Drama', 'Thriller', 'Crime']",USA
48,United 93,4.0,3.65,35692,"['Crime', 'Drama', 'History', 'Action', 'Thriller']",France
49,King Kong,3.5,3.33,208623,"['Action', 'Adventure', 'Drama']",New Zealand
50,I'll Always Know What You Did Last Summer,4.0,1.33,8355,['Horror'],USA
51,Silent Hill,3.5,3.08,98456,"['Horror', 'Mystery']",Canada
52,When a Stranger Calls,4.0,2.47,25352,"['Horror', 'Mystery']",USA
53,The Departed,5.0,4.21,579372,"['Thriller', 'Drama', 'Crime']",Hong Kong
54,Red Eye,4.0,3.17,80140,"['Mystery', 'Thriller']",USA
55,Ocean's Twelve,4.0,3.23,207565,"['Crime', 'Thriller']",USA
56,National Treasure,5.0,3.24,187317,"['Mystery', 'Adventure', 'Action', 'Thriller']",USA
57,Chaos,4.0,2.76,5849,"['Action', 'Drama', 'Crime']",Canada
58,Mystic River,4.0,3.77,167255,"['Drama', 'Mystery', 'Crime', 'Thriller']",USA
59,Spider-Man 2,4.5,3.87,729509,"['Adventure', 'Action', 'Fantasy']",USA
60,Catch Me If You Can,4.5,4.01,700974,"['Drama', 'Crime']",USA
61,Minority Report,4.5,3.68,239137,"['Action', 'Thriller', 'Science Fiction', 'Mystery']",USA
62,The Medallion,4.0,2.29,14712,"['Thriller', 'Action', 'Comedy', 'Fantasy']",Hong Kong
63,Harry Potter and the Prisoner of Azkaban,4.5,4.1,845321,"['Adventure', 'Fantasy']",UK
64,Out of Time,4.0,3.0,12199,"['Thriller', 'Drama', 'Crime']",USA
65,The Bourne Identity,4.5,3.67,213171,"['Drama', 'Thriller', 'Action', 'Mystery']",USA
66,Shanghai Knights,4.5,2.77,35621,"['Comedy', 'Adventure', 'Action', 'Western']",Hong Kong
67,Star Wars: Episode II - Attack of the Clones,4.0,2.75,584084,"['Action', 'Science Fiction', 'Adventure']",USA
68,Spider-Man,4.5,3.77,808357,"['Fantasy', 'Action']",USA
69,Harry Potter and the Philosopher's Stone,4.0,3.79,827129,"['Fantasy', 'Adventure']",UK
70,The Others,4.5,3.72,168943,"['Thriller', 'Horror', 'Mystery']",France
71,Murder by Numbers,4.0,2.81,15081,"['Drama', 'Thriller', 'Crime']",USA
72,Rush Hour 2,4.5,3.25,96976,"['Comedy', 'Action', 'Crime']",USA
73,Unbreakable,4.5,3.66,251554,"['Drama', 'Mystery', 'Thriller']",USA
74,Harry Potter and the Goblet of Fire,4.0,3.81,705495,"['Fantasy', 'Family', 'Adventure']",UK
75,Harry Potter and the Chamber of Secrets,4.0,3.63,710440,"['Adventure', 'Fantasy']",UK
76,Cast Away,3.5,3.8,310265,"['Adventure', 'Drama']",USA
77,Swordfish,4.0,2.64,33400,"['Action', 'Crime', 'Thriller']",Australia
78,Remember the Titans,4.0,3.73,100698,['Drama'],USA
79,X-Men,4.0,3.32,292559,"['Adventure', 'Action', 'Science Fiction']",USA
80,The Art of War,4.0,2.47,4501,"['Action', 'Adventure', 'Crime']",Canada
81,What Lies Beneath,4.0,3.1,39510,"['Horror', 'Mystery', 'Thriller', 'Drama']",USA
82,Blue Streak,4.0,2.96,21839,"['Crime', 'Comedy', 'Action']",Germany
83,The Sixth Sense,4.5,3.97,430231,"['Drama', 'Mystery', 'Thriller']",USA
84,A Murder of Crows,4.0,2.7,1193,"['Action', 'Crime', 'Thriller']",USA
85,True Crime,4.0,3.1,7993,"['Drama', 'Mystery', 'Crime', 'Action', 'Thriller']",USA
86,Blade,4.0,3.4,145789,"['Horror', 'Action']",USA
87,Star Wars: Episode I - The Phantom Menace,4.0,2.83,632542,"['Action', 'Science Fiction', 'Adventure']",USA
88,Rush Hour,5.0,3.47,160999,"['Comedy', 'Crime', 'Action']",USA
89,I Know What You Did Last Summer,4.5,2.95,120497,"['Thriller', 'Mystery', 'Horror']",USA
90,Face/Off,5.0,3.45,144528,"['Science Fiction', 'Thriller', 'Crime', 'Action']",USA
91,Snake Eyes,4.0,3.24,39414,"['Crime', 'Thriller', 'Mystery']",Canada
92,The Game,4.5,3.7,235741,"['Thriller', 'Drama', 'Mystery']",USA
93,The Fifth Element,3.5,3.71,212473,"['Science Fiction', 'Adventure', 'Action', 'Thriller', 'Fantasy']",France
94,Con Air,4.0,3.35,99509,"['Thriller', 'Action', 'Crime']",USA
95,Mission: Impossible,4.5,3.54,245527,"['Adventure', 'Action', 'Thriller']",USA
96,Scream,5.0,4.09,621945,"['Crime', 'Mystery', 'Horror']",USA
97,The Lost World: Jurassic Park,4.0,3.07,238041,"['Science Fiction', 'Action', 'Adventure']",USA
98,Anaconda,3.5,2.34,63926,"['Adventure', 'Thriller', 'Horror']",Brazil
99,Speed,4.0,3.63,181064,"['Adventure', 'Action', 'Crime']",USA
100,The Rock,4.0,3.49,90687,"['Action', 'Thriller', 'Adventure']",USA
101,Executive Decision,3.5,3.04,16454,"['Thriller', 'Action', 'Drama', 'Adventure']",USA
102,Jurassic Park,5.0,4.1,773689,"['Science Fiction', 'Adventure']",USA
103,Jumanji,3.5,3.57,302518,"['Fantasy', 'Family', 'Adventure']",USA
104,Freefall: Flight 174,4.0,3.09,72,"['Drama', 'TV Movie']",USA
105,Mrs. Doubtfire,4.0,3.57,189793,"['Drama', 'Family', 'Comedy']",USA
106,Terminator 2: Judgment Day,5.0,4.21,381764,"['Thriller', 'Action', 'Science Fiction']",USA
107,Home Alone 2: Lost in New York,3.5,3.41,328641,"['Comedy', 'Adventure', 'Family']",USA
108,Arachnophobia,4.0,3.2,32390,"['Horror', 'Comedy']",USA
109,Tremors,5.0,3.51,102378,"['Comedy', 'Horror', 'Action']",USA
110,"Honey, I Shrunk the Kids",3.5,3.1,83792,"['Comedy', 'Family', 'Science Fiction', 'Adventure']",USA
111,Coming to America,4.5,3.52,121074,"['Romance', 'Comedy']",USA
112,Police Story,5.0,3.98,60408,"['Action', 'Crime', 'Thriller']",Hong Kong
113,The Fly,4.0,3.94,210277,"['Science Fiction', 'Horror']",Canada
114,Island of Fire,3.5,2.68,1573,"['Drama', 'Crime', 'Action']",Hong Kong
115,Total Recall,4.0,3.75,163341,"['Action', 'Science Fiction', 'Adventure']",USA
116,Clue,5.0,3.85,166269,"['Comedy', 'Thriller', 'Mystery', 'Crime']",USA
117,Indiana Jones and the Last Crusade,5.0,4.02,335663,"['Adventure', 'Action']",USA
118,Back to the Future,4.5,4.19,875352,"['Adventure', 'Comedy', 'Science Fiction']",USA
119,Beverly Hills Cop,4.5,3.59,92491,"['Crime', 'Action', 'Comedy']",USA
120,The Karate Kid,4.0,3.7,188546,"['Family', 'Drama', 'Action']",USA
121,E.T. the Extra-Terrestrial,4.5,3.84,482220,"['Family', 'Fantasy', 'Science Fiction', 'Adventure']",USA
122,The Empire Strikes Back,5.0,4.39,842408,"['Science Fiction', 'Adventure', 'Action']",USA
123,Jaws,4.5,3.98,582936,"['Thriller', 'Horror', 'Adventure']",USA
124,The Lady Vanishes,4.0,2.88,851,"['Thriller', 'Romance', 'Comedy', 'Mystery']",UK
125,Star Wars,5.0,4.19,938066,"['Adventure', 'Action', 'Science Fiction']",USA
126,Return of the Jedi,5.0,4.02,698645,"['Science Fiction', 'Adventure', 'Action']",USA
127,Superman,3.5,3.64,94757,"['Action', 'Adventure', 'Science Fiction']",UK
128,The Godfather: Part II,5.0,4.54,474751,"['Drama', 'Crime']",USA
129,Raiders of the Lost Ark,5.0,4.16,511366,"['Adventure', 'Action']",USA
130,Drunken Master,4.5,3.71,27587,"['Action', 'Comedy']",Hong Kong
131,The Godfather,5.0,4.54,866764,"['Crime', 'Drama']",USA
132,The Man Who Saw Tomorrow,4.0,2.73,204,"['Documentary', 'Drama']",USA
133,Rear Window,5.0,4.31,340113,"['Thriller', 'Mystery']",USA
