Title,User Rating,Letterboxd Rating,Rating Differential,Letterboxd Rating Count,Genres,Country of Origin,URL
Civil War,3.5,3.75,-0.25,173998,"['Science Fiction', 'War', 'Action']",Finland,https://letterboxd.com//film/civil-war-2024/
Monkey Man,4.0,3.8,0.2,166045,"['Thriller', 'Action']",Canada,https://letterboxd.com//film/monkey-man/
Rebel Moon - Part One: A Child of Fire,2.0,2.01,-0.01,120442,"['Science Fiction', 'Drama', 'Action']",USA,https://letterboxd.com//film/rebel-moon-part-one-a-child-of-fire/
Godzilla Minus One,4.5,4.17,0.33,284998,"['Horror', 'Science Fiction', 'Action']",Japan,https://letterboxd.com//film/godzilla-minus-one/
Dream Scenario,4.0,3.48,0.52,260024,"['Comedy', 'Fantasy']",USA,https://letterboxd.com//film/dream-scenario/
The Marvels,3.0,2.67,0.33,274994,"['Science Fiction', 'Action', 'Adventure']",USA,https://letterboxd.com//film/the-marvels/
Dune: Part Two,5.0,4.49,0.51,1319559,"['Adventure', 'Science Fiction']",USA,https://letterboxd.com//film/dune-part-two/
Thanksgiving,3.5,3.04,0.46,188151,"['Mystery', 'Horror', 'Thriller']",USA,https://letterboxd.com//film/thanksgiving-2023/
Leave the World Behind,3.5,2.86,0.64,504253,"['Thriller', 'Drama', 'Mystery']",USA,https://letterboxd.com//film/leave-the-world-behind-2023/
Poison,3.0,3.6,-0.6,137254,['Comedy'],USA,https://letterboxd.com//film/poison-2023/
The Creator,4.0,3.28,0.72,316997,"['Action', 'Science Fiction', 'Adventure']",Canada,https://letterboxd.com//film/the-creator-2023/
The Zone of Interest,4.0,3.9,0.1,510210,"['Drama', 'History', 'War']",Poland,https://letterboxd.com//film/the-zone-of-interest/
Barbie,3.5,3.87,-0.37,2862956,"['Comedy', 'Adventure']",UK,https://letterboxd.com//film/barbie/
Meg 2: The Trench,2.5,2.01,0.49,157863,"['Action', 'Horror', 'Science Fiction']",China,https://letterboxd.com//film/meg-2-the-trench/
The Boy and the Heron,4.5,3.96,0.54,572306,"['Animation', 'Adventure', 'Fantasy']",Japan,https://letterboxd.com//film/the-boy-and-the-heron/
A Haunting in Venice,3.0,3.01,-0.01,256237,"['Crime', 'Mystery', 'Thriller']",UK,https://letterboxd.com//film/a-haunting-in-venice/
Insidious: The Red Door,2.5,2.39,0.11,152043,"['Horror', 'Thriller', 'Mystery']",USA,https://letterboxd.com//film/insidious-the-red-door/
Secret Invasion,3.0,2.14,0.86,50970,['Drama'],USA,https://letterboxd.com//film/secret-invasion/
Oppenheimer,5.0,4.24,0.76,2075094,"['Drama', 'History']",UK,https://letterboxd.com//film/oppenheimer-2023/
River Wild,1.0,2.67,-1.67,7928,"['Thriller', 'Adventure', 'Mystery']",USA,https://letterboxd.com//film/river-wild/
Nowhere,2.0,2.94,-0.94,50099,"['Drama', 'Thriller']",Spain,https://letterboxd.com//film/nowhere-2023-2/
World War II: From the Frontlines,4.0,4.03,-0.03,1783,['Documentary'],UK,https://letterboxd.com//film/world-war-ii-from-the-frontlines/
The Nun II,2.0,2.31,-0.31,197337,"['Mystery', 'Horror']",USA,https://letterboxd.com//film/the-nun-ii/
BS High,3.5,3.63,-0.13,5969,['Documentary'],USA,https://letterboxd.com//film/bs-high/
Echo,2.0,2.75,-0.75,21481,"['Drama', 'Crime']",USA,https://letterboxd.com//film/echo-2024-1/
Tiger 3,2.5,2.61,-0.11,6475,"['Adventure', 'Thriller', 'Action']",India,https://letterboxd.com//film/tiger-3/
Arnold,4.0,3.68,0.32,11480,['Documentary'],USA,https://letterboxd.com//film/arnold-2023/
The Killer,3.0,3.41,-0.41,540947,"['Thriller', 'Crime']",USA,https://letterboxd.com//film/the-killer-2023/
Spider-Man: Across the Spider-Verse,5.0,4.46,0.54,1736450,"['Animation', 'Adventure', 'Science Fiction', 'Action']",USA,https://letterboxd.com//film/spider-man-across-the-spider-verse/
Killers of the Flower Moon,4.0,4.11,-0.11,795237,"['History', 'Crime', 'Drama']",USA,https://letterboxd.com//film/killers-of-the-flower-moon/
Sound of Freedom,4.0,3.27,0.73,79103,"['Drama', 'Action']",USA,https://letterboxd.com//film/sound-of-freedom/
They Cloned Tyrone,4.0,3.65,0.35,151089,"['Comedy', 'Science Fiction', 'Mystery']",USA,https://letterboxd.com//film/they-cloned-tyrone/
Society of the Snow,4.5,4.13,0.37,675584,"['History', 'Drama']",Spain,https://letterboxd.com//film/society-of-the-snow/
Mission: Impossible – Dead Reckoning Part One,4.5,3.75,0.75,458066,"['Action', 'Thriller']",USA,https://letterboxd.com//film/mission-impossible-dead-reckoning-part-one/
Are You My Groot?,3.0,2.84,0.16,4867,"['Science Fiction', 'Comedy', 'Family', 'Animation']",USA,https://letterboxd.com//film/are-you-my-groot/
Guardians of the Galaxy Vol. 3,5.0,3.97,1.03,1140650,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",USA,https://letterboxd.com//film/guardians-of-the-galaxy-vol-3/
Beau Is Afraid,3.5,3.44,0.06,351445,"['Fantasy', 'Comedy', 'Adventure']",Finland,https://letterboxd.com//film/beau-is-afraid/
Indiana Jones and the Dial of Destiny,3.0,2.94,0.06,379509,"['Action', 'Adventure']",USA,https://letterboxd.com//film/indiana-jones-and-the-dial-of-destiny/
The Super Mario Bros. Movie,3.5,3.27,0.23,942115,"['Fantasy', 'Animation', 'Comedy', 'Family', 'Adventure']",Japan,https://letterboxd.com//film/the-super-mario-bros-movie/
Bye Bye Barry,4.0,3.58,0.42,3148,['Documentary'],USA,https://letterboxd.com//film/bye-bye-barry/
Reptile,2.5,3.02,-0.52,67424,['Crime'],USA,https://letterboxd.com//film/reptile-2023/
Heart of Stone,2.0,2.19,-0.19,42935,"['Thriller', 'Action']",USA,https://letterboxd.com//film/heart-of-stone-2023/
Untold: Johnny Football,3.5,3.29,0.21,8523,['Documentary'],USA,https://letterboxd.com//film/untold-johnny-football/
The Swan,2.5,3.59,-1.09,133120,['Drama'],USA,https://letterboxd.com//film/the-swan-2023/
Poisoned: The Dirty Truth About Your Food,3.0,3.2,-0.2,2954,"['Documentary', 'Crime']",USA,https://letterboxd.com//film/poisoned-the-dirty-truth-about-your-food/
Hidden Strike,2.0,2.25,-0.25,12337,"['Comedy', 'Thriller', 'Action', 'Adventure']",China,https://letterboxd.com//film/hidden-strike/
Gaslight,2.5,2.72,-0.22,834,"['Thriller', 'Horror']",India,https://letterboxd.com//film/gaslight-2023/
The Rat Catcher,2.5,3.32,-0.82,127480,['Comedy'],USA,https://letterboxd.com//film/the-rat-catcher-2023/
Bholaa,2.5,2.75,-0.25,1797,"['Adventure', 'Crime', 'Thriller', 'Action']",India,https://letterboxd.com//film/bholaa/
White Men Can't Jump,3.0,2.65,0.35,32827,"['Comedy', 'Drama']",USA,https://letterboxd.com//film/white-men-cant-jump-2023/
Kisi Ka Bhai... Kisi Ki Jaan,1.5,2.07,-0.57,1800,"['Romance', 'Action']",India,https://letterboxd.com//film/kisi-ka-bhai-kisi-ki-jaan/
